label;source;target;model;source_r2;source_r2_sd;source_r;source_r_sd;target_r2;target_r2_sd;target_r;target_r_sd
LMA;soybean;sorghum;PLSR;0.6294996985978563;0.2033545329740781;0.846609947651312;0.0804560604242315;-0.7786439604056811;0.4306485973646078;0.188617084733917;0.2103686466203727
LMA;soybean;maize;PLSR;0.6294996985978563;0.2033545329740781;0.846609947651312;0.0804560604242315;-0.7801884409415848;0.1901464403334931;0.0264098478555044;0.0875541359207049
LMA;sorghum;soybean;PLSR;0.9102325941931366;0.0169573869640656;0.9555815809560152;0.0084516256627028;-5.605294403779601;1.079795842638419;-0.0340586524441375;0.0853187892781804
LMA;sorghum;maize;PLSR;0.9102325941931366;0.0169573869640656;0.9555815809560152;0.0084516256627028;-1.4645851481292531;0.2268484835811727;0.1550633506373708;0.0364790351498609
LMA;soybean;sorghum;SA;0.7509334023034603;0.0758854268998334;0.8804610826367703;0.0438296467669185;0.1500612686079421;0.0283744827930609;0.4101451277148494;0.0559952008211168
LMA;maize;soybean;PLSR;0.4401140122052183;0.0561551627074737;0.6725160761013342;0.0364391838038442;-5.0097794691827575;0.6098985888477187;-0.4280121599124522;0.0442941145002384
LMA;soybean;maize;SA;0.7764650203848815;0.0698487447298483;0.8966842056275334;0.0377064826610191;-0.0983371127060743;0.0109672267865083;-0.0387062839777239;0.0148042776165585
LMA;soybean;sorghum;TCA;0.730118893173355;0.0891831342168118;0.8718885950426051;0.045184968985061;-0.0498841687004762;0.1121580319774602;0.3700515284712891;0.0724057165897904
LMA;sorghum;soybean;SA;0.8004262281299946;0.0439330543182974;0.896818299436285;0.0234274494427806;-218.5099785138289;201.71223296743955;0.0631026046271854;0.0838262895977208
LMA;maize;sorghum;PLSR;0.4401140122052183;0.0561551627074737;0.6725160761013342;0.0364391838038442;-1.85673135351462;0.2236466839859479;-0.4594142993209037;0.0305428563129152
N;soybean;camelina;PLSR;0.7896936247188551;0.1301356081463935;0.9106495783107555;0.0371106922551943;-0.0938168368374616;0.3225482688586709;0.4124736933469531;0.111471156584806
LMA;sorghum;maize;SA;0.8041883388339625;0.0411623159221934;0.8988697204521874;0.0222870458062053;-4.403681441449887;1.4482808883777414;0.1293072067049795;0.0248420196171547
N;soybean;sorghum;PLSR;0.7896936247188551;0.1301356081463935;0.9106495783107555;0.0371106922551943;0.2352324562146309;0.1439741609299337;0.497223433078208;0.1266217914322525
N;soybean;maize;PLSR;0.7896936247188551;0.1301356081463935;0.9106495783107555;0.0371106922551943;0.144038146886279;0.125231847113557;0.4373611048025658;0.0942970766943643
LMA;maize;soybean;SA;0.3413931487570212;0.0455295616271061;0.5903760215955941;0.0357100424073396;-2.02715844522391;0.3455706508727727;-0.1200253581813365;0.0780999426430953
N;camelina;soybean;PLSR;0.7402558866109711;0.0989530676353512;0.8853170902371261;0.050910007624979;-12.710189044902831;4.302755695714063;-0.0306274781586013;0.136964153477344
LMA;maize;sorghum;SA;0.3458042040723563;0.0478677270475183;0.5951559157692146;0.03633926892167;0.3583274871316055;0.1748379377992917;0.6452877995742625;0.0722697217767924
N;camelina;sorghum;PLSR;0.7402558866109711;0.0989530676353512;0.8853170902371261;0.050910007624979;-3.4482663578590893;3.101946529457919;-0.3410180289181269;0.3608561990443764
N;soybean;camelina;SA;0.7860307772217204;0.1358956737233099;0.9050461928364588;0.0555040883078522;-0.0683053051811325;0.0921129440201624;0.1837762017742136;0.0793723727762816
N;camelina;maize;PLSR;0.7402558866109711;0.0989530676353512;0.8853170902371261;0.050910007624979;-9.056303619382534;6.380643530765188;-0.4610222410124681;0.2452168916805989
N;soybean;sorghum;SA;0.7929003324164124;0.1153461650514221;0.90829611476502;0.043012536709291;-1.1569051035824558;0.8962459386050431;-0.0827946501308087;0.2927379926419053
N;sorghum;soybean;PLSR;0.7789778492128121;0.0349665290378466;0.8879895035115957;0.0162063535277396;-12.245549934651244;2.483558171715125;0.0421339537144447;0.0863857612251906
LMA;soybean;sorghum;CORAL;0.6127939836781322;0.3421611079134114;0.8441992851096751;0.1086892231033058;0.0757331016089506;0.0541935574891914;0.4820722744589366;0.0259862061767899
N;soybean;maize;SA;0.8011467231340097;0.1165122628942871;0.9078500459040602;0.0505743272832123;-0.7255794739395958;0.8234431367892329;0.1123881397573395;0.2327232546233806
N;sorghum;camelina;PLSR;0.7789778492128121;0.0349665290378466;0.8879895035115957;0.0162063535277396;-4.2542518222132815;1.945592824534243;0.1624212148871738;0.1104334693024864
N;camelina;soybean;SA;0.7612384252049914;0.0833248129477027;0.8911095322903644;0.0455615021838232;-2.241586028674219;0.575422264748968;0.1880417128295737;0.0683356669799293
N;sorghum;maize;PLSR;0.7789778492128121;0.0349665290378466;0.8879895035115957;0.0162063535277396;-1.1878037899339058;0.4404128851252613;-0.0284682031695983;0.1230678602800438
N;camelina;sorghum;SA;0.752408424637127;0.0966565074588187;0.8833167660837574;0.045312849435006;-1.0125378099882796;0.3719318405206204;0.2361863434991131;0.0675840927091574
N;camelina;maize;SA;0.7648245016050439;0.0938487104741325;0.892848031454834;0.0468466610226152;-30.251020548591804;36.03373324333381;0.019913552564051;0.2606013662439134
N;maize;soybean;PLSR;0.7844862007553861;0.0238351232262138;0.8875143159958925;0.012881104756619;-2.527471669819873;0.7074602125423555;0.0447373151402239;0.0619649652504887
N;sorghum;soybean;SA;0.7665579042941062;0.032187440519871;0.878215459583632;0.017533510234612;-30.33741551120368;19.72470936017606;-0.0521556407936309;0.0797307446857025
N;sorghum;camelina;SA;0.7668387901999525;0.0323141682077597;0.8784667386163683;0.0175299080370034;-4.756629315067155;1.3269019621243263;-0.3551128901107608;0.1194330432134197
LMA;soybean;maize;TCA;0.7258140173771832;0.0782851507438;0.8677924152181368;0.0417285988626124;-0.309110850886018;0.0352362758856137;-0.0179553018120614;0.016916064131789
N;maize;camelina;PLSR;0.7844862007553861;0.0238351232262138;0.8875143159958925;0.012881104756619;-5.276745654814542;0.8003786503479225;-0.0155223516022476;0.0477027239169968
N;sorghum;maize;SA;0.767310091387326;0.0314628093557257;0.8786790317103584;0.0171153973880135;-3.7299957438534297;5.149710749574428;0.2780729743927584;0.1266311042849878
N;maize;sorghum;PLSR;0.7844862007553861;0.0238351232262138;0.8875143159958925;0.012881104756619;0.4151505135090078;0.090762960633624;0.8000798678910351;0.0166544624084681
LMA;sorghum;soybean;TCA;0.6824934183735755;0.0454411994031788;0.8275989934388243;0.0273313139474719;0.2349000424623127;0.069434250100117;0.4917001067937144;0.0708423723216864
N;maize;soybean;SA;0.7155399116215839;0.0334436488508563;0.8474363045727317;0.0194724533896502;-15.62689155062962;20.008665056188924;0.3139048487581652;0.1367115311957869
N;maize;camelina;SA;0.715548619274227;0.0340612971800129;0.8474431819886167;0.0198411616804521;-1.2072720985529135;0.2867012348850747;-0.0908902657553816;0.0744405042463548
LMA;soybean;maize;CORAL;0.6668363473419546;0.2608370985397442;0.8522195947167305;0.1031331067672686;-0.5364419049040872;0.0347704449338759;0.1330640937274764;0.0154518671115553
N;maize;sorghum;SA;0.7133624959285276;0.0339943939330458;0.8461695531607615;0.0197587704150821;0.1236057385632686;0.7625156783702207;0.5776910120403788;0.2640502345027086
LMA;sorghum;soybean;CORAL;0.9090298309112442;0.0214328372351499;0.9549668443588818;0.0103950808662921;-1.2097451395355008;0.2535426372372983;0.2905934695045389;0.0282542651645958
LMA;sorghum;maize;TCA;0.6806085016893592;0.0459291891349331;0.8263616708570142;0.0276973370821803;-0.3504791517943472;0.0164901158709322;0.0589176957106868;0.0105464499670686
LMA;maize;soybean;TCA;0.2777172418947237;0.0402401590843539;0.5310963197903843;0.0368448501331635;-0.1849662199291769;0.0705128716317445;0.1151547009071206;0.0793181317286887
LMA;sorghum;maize;CORAL;0.9106527409674928;0.0165047807132282;0.9557721987865476;0.0082482136595146;-1.1898278661398145;0.0523186965764189;0.0933027172573368;0.0095884476152298
LMA;maize;soybean;CORAL;0.4411844086476603;0.0530773940355147;0.6720625477377459;0.0348568456996122;-1.2096996071338757;0.2017930855742606;0.1518003732157449;0.0232593439911622
LMA;maize;sorghum;TCA;0.2792887805822435;0.0405172221064439;0.5326314909451653;0.0370332912341;0.117731976473113;0.0608761406283521;0.3635448709485807;0.0609979077283838
N;soybean;camelina;TCA;0.7750777903736306;0.1403740934694243;0.8918348173161037;0.0637163539104231;-0.8650971347896244;0.4143241256710521;0.0002631118722978;0.077465651017735
N;soybean;sorghum;TCA;0.7581578823463844;0.1660112780294745;0.8855692493378703;0.0738936843636473;-0.1198807984051589;0.0276081686972874;0.1484988922661503;0.0355075158681156
LMA;maize;sorghum;CORAL;0.440328733300547;0.0568188490917396;0.6727184369952417;0.0367510130851472;-0.3267817833583028;0.0448435278197764;0.1130074979921033;0.0150539148063321
N;soybean;camelina;CORAL;0.7974024856463366;0.1488316975180266;0.9085091491682682;0.0614571667682342;-0.3843563632565756;0.0905663302269385;0.1955405411434622;0.0564400675440368
N;soybean;maize;TCA;0.7380283144504992;0.2361517717506025;0.8795539720691048;0.0948250685139273;-0.7572740112057764;0.1422791826977921;0.0606517225752991;0.0518023660639434
N;camelina;soybean;TCA;0.7673839556984505;0.0886032346738062;0.8916117025493802;0.0429201129369987;-1.927638128249605;0.7220090067640138;0.2584959137197308;0.0719580797645899
N;camelina;sorghum;TCA;0.7694094349383518;0.0763562676261881;0.8931094594977576;0.0363978818737358;-0.3461439848668338;0.2736608855564437;0.3707203192377404;0.1508847044466271
N;soybean;sorghum;CORAL;0.7977969252263607;0.1033013293658165;0.9124549277529176;0.0338561930992179;-0.2633658278739849;0.0465749249829102;0.248094528811549;0.0354754479334401
N;camelina;maize;TCA;0.6997569737951115;0.1084141373109531;0.8585675842766541;0.0515304891245038;-0.6911248689980506;0.1734356118799409;0.1493559253249801;0.0293452138857127
N;sorghum;soybean;TCA;0.7351059993249422;0.0362480641024291;0.8597028202430727;0.0203547720436349;-0.645339921519395;0.1518267262074369;-0.0421839586229992;0.0834684132056183
N;sorghum;camelina;TCA;0.7406498044327945;0.0384337273605217;0.8630692528675908;0.0213486420012817;-2.906725434921245;0.4450887502879182;-0.3954409216367529;0.0261209391900331
N;soybean;maize;CORAL;0.7935636389348043;0.1569456340196655;0.906988640875704;0.0637514787722075;-0.1821183470359796;0.0293571463657411;0.3246503797702851;0.0186261135711848
N;camelina;soybean;CORAL;0.7310116275760424;0.100733931942385;0.8817466477982401;0.0518590037224884;-7.185173554344534;2.0463650152326034;0.0860685619897691;0.047843400577002
N;camelina;sorghum;CORAL;0.7353809278332285;0.0993712606275561;0.8832368350607392;0.0507027694054198;-1.6964370883933972;0.8605791578330985;-0.2598396006479385;0.1848337951124405
N;sorghum;maize;TCA;0.7411569214017034;0.0358346100037662;0.8632314178596232;0.0200666371672834;0.4950506576866235;0.022520615264481;0.7485371286607981;0.0104818323316791
N;camelina;maize;CORAL;0.7401219691505672;0.0984662745495214;0.8853191756051849;0.0507982004162664;-3.0415125012670403;1.1404500472113432;-0.0860201882838055;0.1171529697586992
N;maize;soybean;TCA;0.7076579549075113;0.0298070007658735;0.8425606444827178;0.0179208939763417;0.3485892688999543;0.0384387070329185;0.5953625053364896;0.0282928271186365
N;maize;camelina;TCA;0.7070469265295911;0.0294001777857216;0.842171111105187;0.0176575552814556;-0.6829888300256802;0.0922023408492387;-0.021163517340787;0.0272925509747859
N;sorghum;soybean;CORAL;0.7826512480459015;0.0285830277477438;0.8882457358479212;0.0147466937001469;-1.8756300665664944;0.2749227584712884;0.0886787143670633;0.0261309018765754
N;maize;sorghum;TCA;0.7068364246169959;0.029188114926716;0.8420423626642228;0.0175497736996257;0.6441196706825187;0.0072388422186522;0.803351686733908;0.0040731767056581
N;sorghum;camelina;CORAL;0.7813676191695162;0.032790252791642;0.8883665871891941;0.0161573757844336;-1.0943198418854427;0.4242951150752027;0.0193998515338645;0.1154149707954818
N;sorghum;maize;CORAL;0.779934286538963;0.0373116940146519;0.8884142084738;0.0172622712990395;-0.2383132236596381;0.0826209851244853;0.4127537253673935;0.0301562765815252
N;maize;soybean;CORAL;0.7840046360902626;0.0258846858825988;0.8874600508714555;0.0138376685651487;-0.5348145228041248;0.1514802094593466;0.3174085018111851;0.025022228853078
N;maize;camelina;CORAL;0.7848406171873669;0.0242916685800413;0.8877168676536062;0.0130591751260392;-1.205419228674502;0.1348339039998171;0.0265922458534355;0.0220681346254679
N;maize;sorghum;CORAL;0.7798225954981243;0.02992806368206367;0.8856287869685451;0.01590741446204357;0.3885837019818779;0.022619058785662942;0.7076816482633376;0.016224975229171167
